0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02,0.000000000000000000e+00,3.160000000000000000e+02
1.705896734902536196e-02,3.240000000000000000e+02,1.705896734902536196e-02,3.320000000000000000e+02,1.705896734902536196e-02,3.290000000000000000e+02,1.705896734902536196e-02,3.240000000000000000e+02,1.705896734902536196e-02,3.230000000000000000e+02,1.705896734902536196e-02,3.400000000000000000e+02,1.705896734902536196e-02,3.220000000000000000e+02,1.705896734902536196e-02,3.320000000000000000e+02,1.705896734902536196e-02,3.390000000000000000e+02,1.705896734902536196e-02,3.190000000000000000e+02
3.411793469805072393e-02,3.390000000000000000e+02,3.411793469805072393e-02,3.420000000000000000e+02,3.411793469805072393e-02,3.470000000000000000e+02,3.411793469805072393e-02,3.280000000000000000e+02,3.411793469805072393e-02,3.190000000000000000e+02,3.411793469805072393e-02,3.440000000000000000e+02,3.411793469805072393e-02,3.350000000000000000e+02,3.411793469805072393e-02,3.540000000000000000e+02,3.411793469805072393e-02,3.560000000000000000e+02,3.411793469805072393e-02,3.420000000000000000e+02
5.117690204707608936e-02,3.480000000000000000e+02,5.117690204707608936e-02,3.640000000000000000e+02,5.117690204707608936e-02,3.530000000000000000e+02,5.117690204707608936e-02,3.470000000000000000e+02,5.117690204707608936e-02,3.280000000000000000e+02,5.117690204707608936e-02,3.610000000000000000e+02,5.117690204707608936e-02,3.660000000000000000e+02,5.117690204707608936e-02,3.620000000000000000e+02,5.117690204707608936e-02,3.670000000000000000e+02,5.117690204707608936e-02,3.490000000000000000e+02
6.823586939610144786e-02,3.620000000000000000e+02,6.823586939610144786e-02,3.900000000000000000e+02,6.823586939610144786e-02,3.630000000000000000e+02,6.823586939610144786e-02,3.590000000000000000e+02,6.823586939610144786e-02,3.550000000000000000e+02,6.823586939610144786e-02,3.800000000000000000e+02,6.823586939610144786e-02,3.830000000000000000e+02,6.823586939610144786e-02,3.670000000000000000e+02,6.823586939610144786e-02,3.730000000000000000e+02,6.823586939610144786e-02,3.400000000000000000e+02
8.529483674512680635e-02,3.630000000000000000e+02,8.529483674512680635e-02,3.980000000000000000e+02,8.529483674512680635e-02,3.750000000000000000e+02,8.529483674512680635e-02,3.610000000000000000e+02,8.529483674512680635e-02,3.580000000000000000e+02,8.529483674512680635e-02,3.940000000000000000e+02,8.529483674512680635e-02,3.770000000000000000e+02,8.529483674512680635e-02,3.700000000000000000e+02,8.529483674512680635e-02,3.810000000000000000e+02,8.529483674512680635e-02,3.740000000000000000e+02
1.023538040941521787e-01,3.640000000000000000e+02,1.023538040941521787e-01,3.970000000000000000e+02,1.023538040941521787e-01,3.810000000000000000e+02,1.023538040941521787e-01,3.770000000000000000e+02,1.023538040941521787e-01,3.750000000000000000e+02,1.023538040941521787e-01,4.170000000000000000e+02,1.023538040941521787e-01,3.930000000000000000e+02,1.023538040941521787e-01,3.880000000000000000e+02,1.023538040941521787e-01,4.070000000000000000e+02,1.023538040941521787e-01,3.720000000000000000e+02
1.194127714431775372e-01,3.880000000000000000e+02,1.194127714431775372e-01,4.190000000000000000e+02,1.194127714431775372e-01,3.930000000000000000e+02,1.194127714431775372e-01,3.850000000000000000e+02,1.194127714431775372e-01,3.910000000000000000e+02,1.194127714431775372e-01,4.320000000000000000e+02,1.194127714431775372e-01,4.170000000000000000e+02,1.194127714431775372e-01,4.070000000000000000e+02,1.194127714431775372e-01,4.150000000000000000e+02,1.194127714431775372e-01,3.860000000000000000e+02
1.364717387922028957e-01,3.920000000000000000e+02,1.364717387922028957e-01,4.300000000000000000e+02,1.364717387922028957e-01,3.960000000000000000e+02,1.364717387922028957e-01,3.940000000000000000e+02,1.364717387922028957e-01,4.020000000000000000e+02,1.364717387922028957e-01,4.430000000000000000e+02,1.364717387922028957e-01,4.520000000000000000e+02,1.364717387922028957e-01,4.190000000000000000e+02,1.364717387922028957e-01,4.350000000000000000e+02,1.364717387922028957e-01,3.820000000000000000e+02
1.535307061412282681e-01,3.870000000000000000e+02,1.535307061412282681e-01,4.460000000000000000e+02,1.535307061412282681e-01,3.980000000000000000e+02,1.535307061412282681e-01,3.880000000000000000e+02,1.535307061412282681e-01,4.270000000000000000e+02,1.535307061412282681e-01,4.670000000000000000e+02,1.535307061412282681e-01,4.640000000000000000e+02,1.535307061412282681e-01,4.350000000000000000e+02,1.535307061412282681e-01,4.400000000000000000e+02,1.535307061412282681e-01,4.040000000000000000e+02
