4.105821164232846820e-01,5.000000000000000000e+01
4.550910182036407292e-01,5.300000000000000000e+01
4.995999199839967764e-01,7.900000000000000000e+01
5.441088217643528235e-01,9.600000000000000000e+01
5.886177235447089817e-01,1.170000000000000000e+02
6.331266253250650289e-01,1.470000000000000000e+02
6.776355271054210760e-01,1.840000000000000000e+02
7.221444288857771232e-01,2.200000000000000000e+02
7.666533306661332814e-01,2.660000000000000000e+02
8.111622324464893286e-01,3.160000000000000000e+02
